morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,intransSuffix,transSuffix,antipassive,engMean,freMean,combination,dialect,root,rootType,rootNb,END
aaha,,1,a,,,,,,,,,,aa/1a+ha,,aa,a,1,.
aahaak,,,a,,,,,,,,yes indeed,oui en effet!,aaha/1a+ak,southbaffin,aaha,a,1,.
aahailaak,,,a,,,,,,,,"yes, I know!","oui, je sais!",aaha/1a+ilaak/1q,aivilik,aaha,a,1,.
aahalii,,,a,,,,,,,,is that so?,vraiment?,aaha/1a+lii,aivilik,aaha,a,1,.
aahalunnaak,,,a,,,,,,,,"yes, very definitely!","oui, d�finitivement!",aaha/1a+lunnaak,aivilik,aaha,a,1,.
aahammarik,,,a,,,,,,,,"yes, really!","oui, vraiment!",aaha/1a+mmarik/1nn,aivilik,aaha,a,1,.
aahatakkuuk,,,a,,,,,,,,"yes, look! ; it's obvious! ; right in front of you!","oui, regarde! ; c'est �vident! ; juste devant toi!",aaha/1a+takkuuk,aivilik,aaha,a,1,.
aahaugaluaq,,,a,,,,,,,,"yes, it's true, but ...","oui, c'est vrai, mais ...",aaha/1a+u/1nv+galuaq/2vn,aivilik,aaha,a,1,.
aallajuaq,,,v,i,,,,,ri/1vv,,to be strange or shy (trans.: with s.o.),�tre �trange ou g�n� (trans.: avec qqn),aalla/1n+?,,,,1,.
aamilaak,,,a,,,,,,,,yes indeed,oui en effet!,aa/1a+m+ilaak/1q,wchb,aa,a,1,.
aananaak,,,a,,,,,,,,exclamation of pleasure: how lovely! ; how fine!,exclamation de plaisir: comme c'est beau! ; comme c'est charmant!,aanana+ak,,,,,.
aangaak,,,a,,,,,,,,exclamation at someone's stupidity or naivete: how stupid or naive!,exclamation devant la stupidit� ou la na�vet� de quelqu'un,aanga/1v+ak,,aanga,v,1,.
aanniaq,,,n,,,,,,,,illness; sickness,maladie,aanniq/1v+aq,,aanniq,v,1,.
aanniaq,,,v,i,a,,,,,,to be in pain; to be sick; to be a patient,avoir mal; �tre malade; �tre un patient,aanniq/1v+a/1vv,wchb,aanniq,v,1,.
aanniaqsiuqti,,,n,,,,,,,,nurse; doctor,infirmi�re; m�decin,aanniaq/1n+siuq/1nv+ji/1vn,,aanniaq,n,1,.
aggaut,,,n,,,,,,,,wrist,poignet,aggak/1n+ut,,aggak,,,.
aggautimiutaq,,,n,,,,,,,,wrist-band; bracelet,bande de poignet; bracelet,aggaut/1n+miutaq/1nn,,aggak,,,.
