morpheme,type,case,number,perPoss,numbPoss,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrec,sources
t,tn,nom,p,,,t,n,,-,-,,t,s,,t,s,,pl:t,H2
k,tn,nom,d,,,k,allV,x,k,iallV(i),,k,sallV,x,k,sallV,x,,H2
it,tn,nom,p,,,it,n,decap,it,n,,it,s,decap,it,s,decap,,H2
up,tn,gen,s,,,up,n,decap,up up,s i(i),decap -,up,s,decap,up,s,decap,,H2
k,tn,gen,d,,,k,allV,x,k,iallV(i),,k,sallV,x,k,sallV,x,,H2
it,tn,gen,p,,,it,n,decap,it,n,,it,s,decap,it,s,decap,,H2
mik,tn,acc,s,,,mik,n,,mik mik,a i(i),,mik mik mik,"nas a if(id:giik/1nn,s)",,mik mik,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
ngnik,tn,acc,d,,,ngnik,allV,x,ngnik,iallV(i),,ngnik,sallV,x,ngnik,sallV,x x,,H2
nik,tn,acc,p,,,nik,n,,nik nik,a i(i),,nik nik,nas a,,nik nik,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
mut,tn,dat,s,,,mut,n,,mut mut mut,a i(i) n,- - s,mut mut mut,nas a n,- - s,mut mut,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn|id:jaq/1vn,s,nas) n",- s,,H2
ngnut,tn,dat,d,,,ngnut,allV,x,ngnut,iallV(i),,ngnut,sallV,x,ngnut,sallV,x,,H2
nut,tn,dat,p,,,nut,n,,nut nut nut,a i(i) n,- - s,nut nut nut,nas a n,- - s,nut nut,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
mit,tn,abl,s,,,mit,n,,mit mit,a i(i),,mit mit,nas a,,mit mit,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
ngnit,tn,abl,d,,,ngnit,allV,x,ngnit,iallV(i),,ngnit,sallV,x,ngnit,sallV,x,,H2
nit,tn,abl,p,,,nit,n,,nit nit,a i(i),,nit nit,nas a,,nit nit,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
mi,tn,loc,s,,,mi,n,,mi mi,a i(i),,mi mi,nas a,,mi mi,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
ngni,tn,loc,d,,,ngni,allV,x,ngni,iallV(i),,ngni,sallV,x,ngni,sallV,x,,H2
ni,tn,loc,p,,,ni,n,,ni ni,a i(i),,ni mi,nas a,,ni ni,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
tut,tn,sim,s,,,tut,n,,tut,i(i),,tut,n,,tut tut,"n if(id:juq/1vn,s)",,,H2
ktut,tn,sim,d,,,ktut ktitut,allV allV,x x,ktut ktitut,iallV(i) iallV(i),,ktut ktitut,sallV sallV,x x,ktut ktitut,sallV sallV,x x,,H2
titut,tn,sim,p,,,titut,n,,titut,i(i),,titut,n,,titut titut,"n if(id:juq/1vn,s)",,,H2
kkut,tn,via,s,,,kkut,n,,kkut,i(i),,kkut,s,,kkut,s,,,H2
kkut,tn,via,d,,,kkut,allV allV,x x,kkut,iallV(i),,kkut,sallV,x,kkut,sallV,x,,H2
tigut,tn,via,p,,,tigut,n,,tigut,i(i),,tigut,n,,tigut tigut,"n if(id:juq/1vn,s)",,,H2
ga,tn,nom,s,1,s,ga,n,,ga,i(i),,ga,s,,ra,fus,,,H2
kka,tn,nom,d,1,s,kka,allV allV,x x,kka,iallV(i),,kka,sallV,x,kka,sallV,x,,H2
kka,tn,nom,p,1,s,kka,n,,kka,i(i),,kka,s,,kka,s,,,H2
ma,tn,gen,s,1,s,ma,n,,ma,i(i) i(im),,ma ma,s a,,ma ma,nas s,,,H2
kka,tn,gen,d,1,s,kka ngma,allV allV,x x,kka ngma,iallV(i) iallV(i),,kka ngma,sallV sallV,x x,kka ngma,sallV sallV,x x,,H2
kka,tn,gen,p,1,s,kka,n,,kka,i(i),,kka,s,,kka,s,,,H2
mnik,tn,acc,s,1,s,mnik,n,,mnik,i(i),,mnik,s,,mnik,s,,,H2
