morpheme,type,mode,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
junga,tv,ger,nsp,1,s,,,junga,n,,tunga,n,,tunga,n,,tunga,n,,,?
jutit,tv,ger,nsp,2,s,,,jutit,n,,tutit,n,,tutit,n,,tutit,n,,,?
juq,tv,ger,nsp,3,s,,,juq,n,,tuq,n,,tuq,n,,tuq,n,,,?
juguk,tv,ger,nsp,1,d,,,juguk,n,,tuguk,n,,tuguk,n,,tuguk,n,,,?
jusik,tv,ger,nsp,2,d,,,jusik jutik,n n,,tusik tutik,n n,,tusik tutik,n n,,tusik tutik,n n,,,?
juuk,tv,ger,nsp,3,d,,,juuk juk,n n,,tuuk tuk,n n,,tuuk tuk,n n,,tuuk tuk,n n,,,?
jugut,tv,ger,nsp,1,p,,,jugut,n,,tugut,n,,tugut,n,,tugut,n,,,?
jusi,tv,ger,nsp,2,p,,,jusi,n,,tusi,n,,tusi,n,,tusi,n,,,?
jut,tv,ger,nsp,3,p,,,jut,n,,tut,n,,tut,n,,tut,n,,,?
vunga,tv,dec,nsp,1,s,,,vunga,n,,punga,a,,punga,n,,punga qunga,n son,,,?
vutit,tv,dec,nsp,2,s,,,vutit,n,,putit,a,,putit,n,,putit qutit,n son,,,?
vuq,tv,dec,nsp,3,s,,,vuq,n,,puq,a,,puq,n,,puq quq,n son,,,?
vuguk,tv,dec,nsp,1,d,,,vuguk,n,,puguk,a,,puguk,n,,puguk quguk,n son,,,?
vusik,tv,dec,nsp,2,d,,,vusik vutik,n n,,pusik putik,a a,,pusik putik,n n,,pusik qusik putik qutik,n son n son,,,?
vuuk,tv,dec,nsp,3,d,,,vuuk vuk,n n,,puuk puk,a a,,puuk puk,n n,,puuk quuk puk quk,n son n son,,,?
vugut,tv,dec,nsp,1,p,,,vugut,n,,pugut,a,,pugut,n,,pugut qugut,n son,,,?
vusi,tv,dec,nsp,2,p,,,vusi,n,,pusi,a,,pusi,n,,pusi qusi,n son,,,?
vut,tv,dec,nsp,3,p,,,vut,n,,put,a,,put,n,,put qut,n son,,,?
langa,tv,dec,nsp,1,s,,,langa,n,,langa,s,,langa,s,,langa,s,,id:nngit/1vv,?
latit,tv,dec,nsp,2,s,,,latit,n,,latit,s,,latit,s,,latit,s,,id:nngit/1vv,?
laq,tv,dec,nsp,3,s,,,laq,n,,laq,s,,laq,s,,laq,s,,id:nngit/1vv,?
laguk,tv,dec,nsp,1,d,,,laguk,n,,laguk,s,,laguk,s,,laguk,s,,id:nngit/1vv,?
lasik,tv,dec,nsp,2,d,,,lasik latik,n n,,lasik latik,s s,,lasik latik,s s,,lasik latik,s s,,id:nngit/1vv,?
lak,tv,dec,nsp,3,d,,,lak,n,,lak,s,,lak,s,,lak,s,,id:nngit/1vv,?
lagut,tv,dec,nsp,1,p,,,lagut,n,,lagut,s,,lagut,s,,lagut,s,,id:nngit/1vv,?
lasi,tv,dec,nsp,2,p,,,lasi,n,,lasi,s,,lasi,s,,lasi,s,,id:nngit/1vv,?
lat,tv,dec,nsp,3,p,,,lat,n,,lat,s,,lat,s,,lat,s,,id:nngit/1vv,?
vunga,tv,int,nsp,1,s,,,vunga,n,,punga,a,,punga,n,,punga qunga,n son,,,?
vit,tv,int,nsp,2,s,,,vit,n,,pit,a,,pit,n,,pit qit,n son,,,?
va,tv,int,nsp,3,s,,,va,n,,pa,a,,pa,n,,pa qa,n son,,,?
vinuk,tv,int,nsp,1,d,,,vinuk,n,,pinuk,a,,pinuk,n,,pinuk qinuk,n son,,,?
visik,tv,int,nsp,2,d,,,visik vitik,n n,,pisik pitik,a a,,pisik pitik,n n,,pisik qisik pitik qitik,n son n son,,,?
vak,tv,int,nsp,3,d,,,vak,n,,pak,a,,pak,n,,pak qak,n son,,,?
vita,tv,int,nsp,1,p,,,vita,n,,pita,a,,pita,n,,pita qita,n son,,,?
visi,tv,int,nsp,2,p,,,visi,n,,pisi,a,,pisi,n,,pisi qisi,n son,,,?
vat,tv,int,nsp,3,p,,,vat,n,,pat,a,,pat,n,,pat qat,n son,,,?
langa,tv,int,nsp,1,s,,,langa,n,,langa,s,,langa,s,,langa,s,,id:nngit/1vv,?
latit,tv,int,nsp,2,s,,,latit,n,,latit,s,,latit,s,,latit,s,,id:nngit/1vv,?
