morpheme,type,mode,sameSubject,posneg,tense,dialect,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
lunga,tv,part,oui,pos,prespas,North Baffin,nsp,1,s,,,lunga,i(l),,&unga &unga,a n,,&unga,n,,&unga,n,,,M1 H2
lutit,tv,part,oui,pos,prespas,North Baffin,nsp,2,s,,,lutit,i(l),,&utit &utit,a n,,&utit,n,,&utit,n,,,M1 H2
luni,tv,part,oui,pos,prespas,North Baffin,nsp,3,s,,,luni,i(l),,&uni &uni,a n,,&uni,n,,&uni,n,,,M1 H2
lunuk,tv,part,oui,pos,prespas,North Baffin,nsp,1,d,,,lunuk,i(l),,&unuk &unuk,a n,,&unuk,n,,&unuk,n,,,M1 H2
lusik,tv,part,oui,pos,prespas,North Baffin,nsp,2,d,,,lusik,i(l),,&usik &usik,a n,,&usik,n,,&usik,n,,,M1 H2
lutik,tv,part,oui,pos,prespas,North Baffin,nsp,3,d,,,lutik,i(l),,&utik &utik,a n,,&utik,n,,&utik,n,,,M1 H2
luta,tv,part,oui,pos,prespas,North Baffin,nsp,1,p,,,luta,i(l),,&uta &uta,a n,,&uta,n,,&uta,n,,,M1 H2
lusi,tv,part,oui,pos,prespas,North Baffin,nsp,2,p,,,lusi,i(l),,&usi &usi,a n,,&usi,n,,&usi,n,,,M1 H2
lutik,tv,part,oui,pos,prespas,North Baffin,nsp,3,p,,,lutik,i(l),,&utik &utik,a n,,&utik,n,,&utik,n,,,M1 H2
lunga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,1,s,,,lunga,n,,lunga,son,,lunga,son,,lunga,son,,,M1 H2
lutit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,2,s,,,lutit,n,,lutit,son,,lutit,son,,lutit,son,,,M1 H2
luni,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,3,s,,,luni,n,,luni,son,,luni,son,,luni,son,,,M1 H2
lunuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,1,d,,,lunuk,n,,lunuk,son,,lunuk,son,,lunuk,son,,,M1 H2
lusik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,2,d,,,lusik,n,,lusik,son,,lusik,son,,lusik,son,,,M1 H2
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,3,d,,,lutik,n,,lutik,son,,lutik,son,,lutik,son,,,M1 H2
luta,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,1,p,,,luta,n,,luta,son,,luta,son,,luta,son,,,M1 H2
lusi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,2,p,,,lusi,n,,lusi,son,,lusi,son,,lusi,son,,,M1 H2
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,3,p,,,lutik,n,,lutik,son,,lutik,son,,lutik,son,,,M1 H2
tillunga,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",nsp,1,s,,,tillunga,n,,tillunga tillunga,s n,,tillunga,n,,tillunga,n,,,M1 H2
tillutit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",nsp,2,s,,,tillutit,n,,tillutit tillutit,s n,,tillutit,n,,tillutit,n,,,M1 H2
