morpheme,nb,type,function,position,transitivity,nature,plural,antipassive,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,engMean,freMean,condPrec,condPrecTrans,condOnNext,sources,combination,dialect,mobility
&&apik,1,sv,vv,m,n,,,,&&apik,n,,&&apik,s,,&&apik,s,,&&apik,s,,"implies frustration or annoyance, because of embarassment, inconvenience or awkwardness to one's position or plans: 'damn it!'","implique de la frustration ou de la contrari�t� � cause d'un embarras, d'un d�sagr�ment ou d'un d�rangement � ses plans",,,,A1,,,m
&&aq,1,sv,vv,m,n,,,,&&aq,n,,&&aq,s,,&&aq,s,,&&aq,s,,"implies frustration or annoyance, because of embarassment, inconvenience or awkwardness to one's position or plans: 'damn it!'","implique de la frustration ou de la contrari�t� � cause d'un embarras, d'un d�sagr�ment ou d'un d�rangement � ses plans",,,,A1,,,m
&aq,1,sv,vv,m,i,,,,&aq,n,,-,-,,-,-,,-,-,,identification,identification,id:u/1nv,,mode:caus,H1,,,m
&iq,1,sn,nn,t,,,,,&iq lliq,n n,,&iq lliq,n s,,&iq lliq,n s,,&iq lliq,n s,,"superlativeness, highest degree, the most of all","superlatif, le plus haut degr�, le plus ... de tous",,,,H1,,,m
a,1,sv,vv,m,t,,,ksi/1vv ri/1vv gi/4vv,a aq,n,,a aq,s s,,a aq,s s,,a aq,s s,,"action done several times, or continuously, or on several objects, or by several subjects; also, with transitive verbs with perfect sense: renders the action at the present time","action effectu�e plusieurs fois, ou de fa�on continue, ou sur plusieurs objets, ou par plusieurs sujets; avec verbes transitifs avec sens parfait: indique le temps pr�sent",type:v,,,H1,,,m
ajak,1,sn,nv,m,i,,,,ajak,n,,ajak,s,,ajak,s,,ajak,s,,to take many (animals),attraper beaucoup d'animaux,,,,A1,,,m
allak,1,sv,vv,m,n,,,,allak ala,n n,i(ra) i(ra),allak ala,s s,i(ra) i(ra),allak ala,s s,i(ra) i(ra),allak ala,s s,i(ra) i(ra),"ease, simpleness of action; 'easily'; 'just'","action facile, simple; 'facilement'; 'juste'",,,,H1 A1,,,m
aluk,1,sn,nn,t,,,,,aluk aaluk,n n,i(ra) i(ra),aluk aluk aaluk,s i(i) s,i(ra) - i(ra),aluk aaluk,s s,i(ra) i(ra),aluk aaluk,s s,i(ra) i(ra),"largeness; impressiveness; 'large'; exaggeration, aggrandizement of action (with gerundive): 'a lot', 'a great deal'",large; impressionnant; exag�ration de l'action (avec g�rondif): 'beaucoup',,,,H1,,,m
anik,1,sv,vv,m,n,,,,anik,n,i(ra),anik,s,i(ra),anik,s,i(ra),anik,s,i(ra),action already done; 'already' (Aivilik),action d�j� accomplie; 'd�j�' (Aivilik),,,,A1,,Aivilik,m
annuk,1,sn,nn,t,,,,,annuk,n,i(r),annuk,s,,annuk,s,,annuk,s,,"diminutiveness; 'small'; 'sweet, beautiful little'","diminutif; 'cher, beau petit'",,,,H1,,,m
