Mot original (fréquence Google du mot en syllabique),Mot original en syllabique,Traduction,"Reformulations 
trouvées","Meilleures 
Reformulations","Syllabique des refromulations
avec #hits Google","Traduction
des meilleures
Reformulations",Notes
takujumaguvit (191),ᑕᑯᔪᒪᒍᕕᑦ,if you would want/like to see,1,"takujumajuq;
takujumajut","ᑕᑯᔪᒪᔪᖅ (1);
ᑕᑯᔪᒪᔪᑦ (49)",,"used for « for more information », i.e. if you want to see more information…"
qarasaujakkut (4230),ᖃᕋᓴᐅᔭᒃᑯᑦ,internet/internet services,1,qaritaujakkut,ᖃᕆᑕᐅᔭᒃᑯᑦ (21900),,"qarasaujaq : computer (= qaritaujaq)
"
qaujisaqtikkut (98),ᖃᐅᔨᓴᖅᑎᒃᑯᑦ,research institute/council,0,,,,X:qauji/to know s.t. – Y:saq/to work through prolonged action to achieve X – ti/he who Y – kkut/group
ilinniaqtumut (986),ᐃᓕᓐᓂᐊᖅᑐᒧᑦ,for student/students (for he who studies),0,,,,"-mut 
mut because much used for the term for scholarship (help for he who studies)
normally : student = ilinniaqti"
mikinniqsanut (1660),ᒥᑭᓐᓂᖅᓴᓄᑦ,to/for elementary (school) / smaller (communities),1,"mikinniqsaq;
mikinniqsait;
mikiniqsaq;
mikiniqsait","ᒥᑭᓐᓂᖅᓴᖅ (2);
ᒥᑭᓐᓂᖅᓴᐃᑦ (27);
ᒥᑭᓂᖅᓴᖅ (19);
ᒥᑭᓂᖅᓴᐃᑦ (30)",,"-nut
X-niqsaq: comparison; more X
mikit- to be small"
silattusarvimmi (4800),ᓯᓚᑦᑐᓴᕐᕕᒻᒥ,in the college,1,silattusarvik;,ᓯᓚᑦᑐᓴᕐᕕᒃ (5530),university/institute/college,used in « Nunavut Arctic College » : ᓄᓇᕗᒻᒥ ᐅᑭᐅᖅᑕᖅᑐᒥ ᓯᓚᑦᑐᓴᕐᕕᒃ X/sila:intelligence – Y:ttuq/to start to have a large X – Z:saq/to work over a prolonged time at Y – vik/place where one do Z.
pivalliajut (25200),ᐱᕙᓪᓕᐊᔪᑦ,news (papers),0,,,,news : things that are in progression (ever changing)
akigiliutinajaqtuq (1),ᐊᑭᒋᓕᐅᑎᓇᔭᖅᑐᖅ,cost (what it would cost),1,akinga,ᐊᑭᖓ (781),its cost,exchange value-to have as-on going-action for s.o.-would-it
qakugukkanniq (9),ᖃᑯᒍᒃᑲᓐᓂᖅ,over time/at a later date,1,qakugu,ᖃᑯᒍ (249),when,"X? – once again
Spalding : qakkugu : when in the future (WCHB)
Schneider : qakugu : when in the future (Nunavik)"
nalunairsivut (265),ᓇᓗᓇᐃᕐᓯᕗᑦ,they lay out/explain/show,1,nalunaiqsivut,ᓇᓗᓇᐃᖅᓯᕗᑦ (756),reveal/confirm/announce/emphasize/verify whether/,-vut (they)
atuinnautittinirmit (29),ᐊᑐᐃᓐᓇᐅᑎᑦᑎᓂᕐᒥᑦ,access,1,"atuinnautittiniq;
atuinnautittijuq;
atuinnautittijut;","ᐊᑐᐃᓐᓇᐅᑎᑦᑎᓂᖅ (90);
ᐊᑐᐃᓐᓇᐅᑎᑦᑎᔪᖅ (30);
ᐊᑐᐃᓐᓇᐅᑎᑦᑎᔪᑦ (21)",availability/access/accessible,-mit
ilagiisakkunnut (2),ᐃᓚᒌᓴᒃᑯᓐᓄᑦ,Arctic Co-operatives Limited,1,ilagiisakkut,ᐃᓚᒌᓴᒃᑯᑦ (61),co-operative,-nut
tuksiraummut (9),ᑐᒃᓯᕋᐅᒻᒧᑦ,proposal,1,"tuksiraut;
tuksirautiit","ᑐᒃᓯᕋᐅᑦ (1380);
ᑐᒃᓯᕋᐅᑏᑦ (406)",application (as in application form)/request/proposal/,"-mut tuksiraummut : to ask for something–action made by steps or prolonged action–object, means for"
atuqtauniarput (2),ᐊᑐᖅᑕᐅᓂᐊᕐᐳᑦ,they will be used,1,"atuqtaujut;
atuqtauvut","ᐊᑐᖅᑕᐅᔪᑦ (856);
ᐊᑐᖅᑕᐅᕗᑦ (6)",resources/use/usage,
