morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,dialect,combination,root,rootNb,rootType,END
paani,,1,a,,,,,,,,,in heaven,au ciel,,pagga/rad-ml+ani/tad-loc,,,,.
qautamaat,,1,a,,,,,,,,,daily; every day,quotidiennement; chaque jour,,,qauk,1,v,.
ammalu,,1,c,,,,,,,,,and,et,,amma/1c+lu/1q,amma,1,c,.
suuqaimma,,1,e,,,,,,,,,"exclamation of understanding: ""No wonder!"" ""It's not surprising""","exclamation : ""Ce n'est pas surprenant!""",,,suuq,1,a,.
tuavi,,1,e,,,,,,,,,"exclamation: ""hurry up!""",,,,tuaviq,1,v,.
amisut,,1,n,,,,,,,,,many things,plusieurs choses,,,,,,.
igluvigaq,,1,n,,,,,,,,,snow house; inhabited snow house,habitation faite de neige,,iglu/1n+?,,,,.
inuusiq,,1,n,,,,,,,,,"one's life, experience","vie, exp�rience de qqn",,,inuk,1,n,.
marruuk,,1,n,,,,,,,,,two; number two,deux; nombre deux,,,marru,1,n,.
mikigaq,,1,n,,,,,,,,,raw meat,viande crue,,,mikik,1,v,.
mikiliraq,,1,n,,,,,,,,,ring finger; third finger,annulaire; troisi�me doigt,,,miki,1,v,.
millaq,,1,n,,,,,,,,,chip on the surface or coating of s.t.,"fragment, �br�chure, �clat � la surface de quelque chose",,,miliq,1,v,.
miqqiaq,,1,n,,,,,,,,,(1) seal's new hair after shedding in spring (2) a seal whose hair is not falling out in the spring,(1) nouvelle fourrure du phoque apr�s la mue du printemps (2) un phoque qui n'a pas perdu ses poils au printemps,,,miqquq,1,n,.
naalaut,naalautik,1,n,,,,,,,,,radio,radio,,,naalak,1,v,.
naaqquq,,1,n,,,,,,,,,full moon,pleine lune,,,naaq,1,n,.
naggavik,,1,n,,,,,,,,,table; bench,table; �tabli,,,,,,.
nakasirvik,,1,n,,,,,,,,,front-site base of a rifle (where bead is placed),base du guidon d'une arme � feu (l� o� la mire est plac�e),,,nakataq,1,n,.
nakasungnak,,1,n,,ana,,,,,,,calf of leg,mollet,,,nakasuk,1,n,.
nakasungnaktuq,,1,n,,,,,,,,,frog or toad,grenouille ou crapaud,,,nakasungnak,1,n,.
naktibvik,,1,n,,,,,,,,,hook; catch; peg for hanging clothes; catch of lock,"crochet; tige pour accrocher les v�tements; fermeture d'une serrure, d'un cadenas",,?+vik/3vn,naktit,1,v,.
nalliutiniq,,1,n,,,,,,,,,birthday,anniversaire,,,nalliuti,1,v,.
nanijjutiksaq,,1,n,,,,,,,,,address; identification card,adresse; carte d'identification,,,nani,1,a,.
nanirut,nanirutik,1,n,,,,,,,,,lantern; beacon [WCHB]; flashlight [ECHB],lanterne; balise [c�te ouest Baie d'Hudson]; torche �lectrique [c�te est Baie d'Hudson],,,nani,1,a,.
nanunnguaq,,1,n,,,,,,,,,"cup for ""cup-and-ball"" game",gobelet pour le jeu de bilboquet,,,nanuq,1,n,.
nanuraq,,1,n,,,,,,,,,polar-bear skin,peau d'ours polaire,,,nanuq,1,n,.
nanuujaq,,1,n,,zoo,,,,,,,earth spider,araign�e terrestre,,,nanuq,1,n,.
napaaqtuq,,1,n,,bot,,,,,,,tree,arbre,,,napa,1,v,.
naqaraq,,1,n,,,,,,,,,pan of snow placed on top of trap to hide it,plaque de neige plac�e au-dessus d'un pi�ge pour le dissimuler,,,naqaq,1,v,.
narsiaq,,1,n,,,,,,,,,nose-guard or nose protector,prot�ge-nez,,,narsit,1,v,.
nasirsurvik,,1,n,,,,,,,,,look-out; vantage point,point d'observation,,,nasit,1,v,.
nattaugaq,,1,n,,,,,,,,,Jew's harp,guimbarde,,,naktit,1,v,.
naujajjuaq,,1,n,,zoo,,,,,,,sea gull; herring gull,mouette; go�land argent�,,,nauja,1,n,.
naujavak,naujavik,1,n,,zoo,,,,,,,herring or glaucous gull,go�land argent� ou go�land � ailes grises,,,nauja,1,n,.
nauligaut,,1,n,,,,,,,,,fish spear or javelin,harpon ou javelot � poisson,,,,,,.
naullaq,,1,n,,,,,,,,,wound of harpoon or spear point,blessure caus�e par la pointe d'un harpon,,,,,,.
nibjaartitaq,,1,n,,,,,,,,,accordion or concertina (Padl.),accord�on ou concertina (Padl.),,,nibjaaq,1,v,.
nigjuarjuk,,1,n,,zoo,,,,,,,small red-brown earth spider of barren lands,petite araign�e terrestre rouge-brun des terres arides,,,nigjuk,1,n,.
niksaaqtuq,,1,n,,zoo,,,,,,,ptarmigan,ptarmigan,,,niksaaq,1,v,.
nilirnaktuq,,1,n,,,,,,,,,bean,f�ve,,,niliq,1,v,.
nimartuq,,1,n,,zoo,,,,,,,jelly-fish,m�duse,,,,,,.
ningiusuk,,1,n,,,,,,,,,girld friend (S. Baffin),amie de coeur (Baffin sud),,,ningiuq,1,n,.
niqaituq,,1,n,,,,,,,,,welfare,bien-�tre,,,niqi,1,n,.
niqittijuq,,1,n,,,,,,,,,Friday,vendredi,,,,,,.
nirlirnaq,,1,n,,,,,,,,,Richardson's goose; common Brant goose,bernache cravant,,,nirliq,1,n,.
nirrit,nirritit,1,n,,,p,,,,,,eating utensils,ustensiles,,,niri,1,v,.
niurrut,,1,n,,,,,,,,,reason to come in or commute or trade from outlying camp,"raison de venir, de voyager, ou de marchander, en provenance d'un campement isol�",,,niurru,1,v,.
nubvit,,1,n,,,,,,,,,beading needle,"aiguille � perles, � gouttes",,,nuvi,1,v,.
nugluktaq,,1,n,,,,,,,,,"ivory or bone piece with holes used in the game of ""nu[g]luktartuq""","pi�ce en ivoire ou en os avec des trous utilis�e dans le jeu de ""nu[g]luktartuq""",,,nugluk,1,v,.
nukatugag,,1,n,,zoo,,,,,,,yearling caribou or walrus,b�b� caribou ou morse,,,nukaq,1,n,.
nuliasuk,,1,n,,,,,,,,,bachelor (one not yet married),c�libataire,,,nuliaq,1,n,.
nunajaq,,1,n,,,,,,,,,shrub,arbuste,,,nuna,1,n,.
nunalik,,1,n,,,,,,,,,camp; village; settlement; community,campement; village; communaut�,,,nuna,1,n,.
nunaqarvik,,1,n,,,,,,,,,camp; village; settlement; community,campement; village; communaut�,,,nuna,1,n,.
nurrait,,1,n,,,p,,,,,,month of May,mois de mai,,,nurraq,1,n,.
nuvirsaaksaq,,1,n,,,,,,,,,knitting wool; yarn,laine � tricoter; fibre textile,,,nuvirsaq,1,v,.
nuvirsaaq,,1,n,,,,,,,,,woolen article,article en laine,,,nuvirsaq,1,v,.
pamialluq,,1,n,,ana,,,,,,,sacrum,sacrum,,,pamiuq,1,n,.
pamiulik,,1,n,,zoo,,,,,,,black squirmer; tadpole,t�tard,,,pamiuq,1,n,.
pamiurtuq,,1,n,,zoo,,,,,,,otter,loutre,,,pamiuq,1,n,.
papiqquq,,1,n,,,,,,,,,bird's tail,queue d'oiseau,,,papik,1,n,.
paurngaaluk,,1,n,,,,,,,,,apple; peach; etc.,pomme; p�che; etc.,,,paurgnaq,1,n,.
paut,,1,n,,,,,,,,,paddle,pagaie,,,paruq,1,v,.
pingajuat,,1,n,,,,,,,,,Wednesday [WCHB; N. Baffin],mercredi (Baffin sud; c�te est Baie d'Hudson),,,pingasut,1,n,.
pingattituq,,1,n,,,,,,,,,Wednesday [ECHB; S. Baffin],mercredi (Baffin sud; c�te est Baie d'Hudson),,,pingasut,1,n,.
pinngitturtuq,,1,n,,,,,,,,,relief ship or relief expedition to meet party with supplies at specified date,bateau ou exp�dition de secours pour apporter des provisions � une date d�termin�e,,,pi,1,v,.
piqannirijaq,piqannarijaq,1,n,,,,,,,,,friend,amie de coeur (Baffin sud),,,piqanniq,1,v,.
piqatik,,1,n,,,,,,,,,partner; companion; associate; team-mate,paternaire; compagnon; associ�; co�quipier,,,pi,1,v,.
pirluaq,,1,n,,,,,,,,,abortion; miscarried birth,avortement,,,pirliq,1,v,.
pirujaq,,1,n,,,,,,,,,meat cache; s.t. covered with stones,cache de viande; quelque chose couvert de pierres,,,piru,1,v,.
pitiksiliut,,1,n,,,,,,,,,screw-driver,tournevis,,,,,,.
pitiksitaq,,1,n,,,,,,,,,arrow quiver,carquois,,,,,,.
pitiksitaq,,2,n,,ana,,,,,,,pancreas,pancreas,,,,,,.
piusibvik,,1,n,,,,,,,,,place to hold or put things; container or holder,endroit o� on garde ou met des choses; contenant ou objet pour porter quelque chose,,,pi,1,n,.
puiji,,1,n,,zoo,,,,,,,any sea animal that pops its head out of the water,tout animal marin qui sort la t�te de l'eau,,,pui,1,v,.
pujuulattit,,1,n,,,,,,,,,smoking pipe; cigarette,pipe; cigarette,,,pujuq,1,n,.
pukkuliut,,1,n,,,,,,,,,wood chisel,ciseau � bois,,,,,,.
pullaujaq,,1,n,,,,,,,,,glass; s.t. made of glass,verre; quelque chose fait en verre,,,,,,.
punnirniq,,1,n,,,,,,,,,European pork-fat lard,lard de porc,,,,,,.
pusialuk,,1,n,,zoo,,,,,,,tiger; lion,tigre; lion,,,pusi,1,n,.
puurtaq,,1,n,,,,,,,,,filleted caribou meat wrapped in caribou skin,viande de caribou en filets envelopp�e dans une peau de caribou,,,puuq,1,n,.
puurusiq,,1,n,,,,,,,,,food bag; shopping bag,sac d'�picerie; sac de magasinage,,,puuq,1,n,.
puurutaq,,1,n,,,,,,,,,large flat platter or tray,plateau ou plat large,,,puuq,1,n,.
puuttaq,,1,n,,,,,,,,,sealskin turned inside out holding oil and meat (ECHB),peau de phoque retourn�e pour converver de l'huile et de la viande (c�te est Baie d'Hudson),,,puuq,1,n,.
puviakataq,,1,n,,,,,,,,,balloon,ballon,,,puviq,1,v,.
puviaq,,1,n,,,,,,,,,bird's crop,jabot d'oiseau,,,puvak,1,n,.
puvigaq,,1,n,,,,,,,,,balloon,ballon,,,puviq,1,v,.
puviraq,,1,n,,,,,,,,,"ship's cabin, below-deck",cabine de bateau; pont inf�rieur,,,puviq,1,v,.
qairusuk,,1,n,,,,,,,,,cave in granite or rock bluff or hill,grotte dans un mur ou une colline de roc ou de granit,,,qaiq,1,v,.
qajuutaq,,1,n,,ana,,,,,,,bump of the heel (N. Baffin),bosse du talon (Baffin nord),,,qajuq,1,n,.
qaksungabvik,,1,n,,,,,,,,,braid attached to parka on which the rope and buckles is fastened,ganse fix�e au parka pour attacher la corde et les boucles,,,,,,.
qaksungaut,qaksungautik,1,n,,,,,,,,,(1) rope and buckles used to hold up hood of woman's parka (2) diamond-shaped object; diamond suit in pack of playing cards,(1) corde et boucles utilis�es pour retenir le capuchon d'un parka de femme (2) objet en forme de diamant; cartes de carreau dans un jeu de cartes,,,,,,.
qaliarutaq,,1,n,,,,,,,,,piece of wood added to the top of the sled-runner points,pi�ce de bois ajout�e par-dessus les pointes des patins de tra�neau,,,qaa,1,n,.
qalipaq,,1,n,,,,,,,,,top coat; outer covering,manteau,,,qaa,1,n,.
qalliniq,,1,n,,ana,,,,,,,"instep of foot, also of boot","coup-de-pied du pied, et aussi des bottes",,,qaa,1,n,.
qalliq,,1,n,,,,,,,,,the top one,celui sur le dessus,,,qaa,1,n,.
qallut,qallutik,1,n,,,,,,,,,dipper or water dipper,louche,,,qaa,1,n,.
qapiartittuq,,1,n,,,,,,,,,mirage,mirage,,,,,,.
qaplunaaq,,1,n,,,,,,,,,white-man; European,homme blanc; Europ�en,,,qablu,1,n,.
